POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
5,603.53,1535.64,1858.51,-1487.09,-12675.26,663.3,5511.03,-2149.71,50.03,0.0,-3990.34,-2099.67,-6090.02
6,587.05,1579.7,1853.85,-1463.41,-12724.44,664.24,5476.38,-2119.01,49.53,0.0,-4026.64,-2069.48,-6096.12
7,621.9,1524.98,1819.15,-1434.7,-12706.44,655.74,5515.01,-2188.18,50.67,0.0,-4004.36,-2137.51,-6141.87
8,598.28,1575.37,1825.79,-1450.75,-12669.55,650.23,5537.14,-2209.19,50.19,0.0,-3933.5,-2159.0,-6092.49
9,613.79,1580.63,1816.69,-1434.01,-12615.46,636.36,5421.22,-2177.34,51.37,0.0,-3980.79,-2125.97,-6106.76
10,593.96,1582.17,1810.03,-1472.22,-12636.68,663.6,5512.32,-2187.4,50.85,0.0,-3946.83,-2136.55,-6083.38
11,589.26,1551.3,1810.73,-1457.67,-12624.08,660.77,5482.27,-2172.8,50.66,0.0,-3987.43,-2122.15,-6109.57
12,636.26,1570.35,1839.07,-1481.72,-12680.09,681.29,5529.85,-2167.85,49.85,0.0,-3904.98,-2118.01,-6022.99
13,584.68,1531.44,1818.4,-1449.38,-12710.58,662.93,5534.01,-2155.44,50.6,0.0,-4028.5,-2104.84,-6133.34
14,630.34,1588.2,1814.99,-1464.1,-12699.87,648.62,5511.22,-2141.79,49.92,0.0,-3970.6,-2091.86,-6062.47
15,603.65,1526.92,1800.39,-1444.34,-12695.96,663.94,5503.09,-2129.78,50.72,0.0,-4042.32,-2079.06,-6121.38
16,619.9,1571.87,1837.68,-1463.67,-12606.72,635.98,5454.85,-2156.68,50.01,0.0,-3950.11,-2106.68,-6056.78
17,602.67,1582.76,1835.83,-1435.75,-12636.83,647.39,5447.84,-2154.06,50.74,0.0,-3956.09,-2103.32,-6059.41
18,615.66,1535.46,1781.93,-1433.34,-12710.27,658.7,5536.05,-2151.59,50.84,0.0,-4015.8,-2100.75,-6116.55
19,609.14,1548.28,1848.39,-1456.75,-12638.27,646.64,5492.76,-2209.17,50.59,0.0,-3949.82,-2158.58,-6108.41
20,585.39,1542.73,1833.23,-1461.12,-12651.8,664.77,5520.18,-2215.04,50.29,0.0,-3966.6,-2164.75,-6131.36
21,602.52,1495.39,1816.77,-1447.36,-12651.87,645.55,5530.21,-2203.73,50.16,0.0,-4008.79,-2153.57,-6162.36
22,561.99,1563.74,1798.41,-1453.37,-12564.42,661.84,5526.12,-2268.59,50.61,0.0,-3905.68,-2217.98,-6123.66
23,604.03,1589.34,1820.36,-1441.07,-12607.22,622.85,5472.05,-2209.6,50.7,0.0,-3939.65,-2158.9,-6098.55
24,621.58,1484.47,1799.76,-1464.78,-12569.75,668.77,5483.7,-2234.81,49.79,0.0,-3976.25,-2185.02,-6161.26
25,616.08,1527.49,1859.13,-1459.14,-12607.09,657.14,5500.21,-2247.29,50.25,0.0,-3906.19,-2197.04,-6103.23
26,609.9,1578.3,1810.26,-1466.6,-12655.43,662.39,5435.7,-2121.79,49.59,0.0,-4025.48,-2072.2,-6097.68
27,622.71,1533.14,1817.07,-1474.27,-12690.3,662.77,5499.32,-2165.26,50.31,0.0,-4029.58,-2114.95,-6144.53
28,622.59,1551.3,1808.81,-1457.94,-12611.54,638.11,5430.33,-2164.03,50.07,0.0,-4018.34,-2113.96,-6132.3
